Model,Accuracy,F1 (macro),Precision (macro),Recall (macro),Has_Proba
CNN+SVM (tuned),0.9121171770972037,0.9111931449578483,0.9130756361966131,0.9120229850908156,0
Stacked Meta (SVM+XGB→LR),0.8974700399467377,0.896914705634736,0.8981367117028117,0.8974261131192807,1
Blend α=1.00,0.8908122503328895,0.8899450843561549,0.8910984934741201,0.8907024788906416,0
Ensemble (Average),0.8874833555259654,0.8875012189792947,0.890127980704975,0.8875452734136444,1
CNN,0.8728362183754993,0.8721310644486803,0.8780817021553566,0.8729457322666063,1
Blend (LR on VAL),0.8302263648468708,0.8297589913277692,0.83623622315454,0.8303486339338978,0
CNN_prog_TTA,0.8229027962716379,0.8219971731582216,0.8422666606534589,0.8232169035206236,1
CatBoost (tuned),0.8202396804260985,0.8206386338747509,0.8235581324747594,0.8202493368324998,0
CNN+XGB (tuned),0.810918774966711,0.8116010381843534,0.8142030193903049,0.8108519998773877,1
ResNet50,0.6245006657789614,0.6205048252932658,0.638730947412802,0.6241562363682236,1
MobileNetV3,0.5639147802929427,0.5688819573157047,0.5872634657009657,0.5638052869481562,1
EfficientNetB0_RGB,0.2496671105193076,0.09989344698987747,0.0624167776298269,0.25,1
